Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,kraken
2024-06-30 21:23:00 UTC,62064.0,61886.3333333333,,61885.5696703297,64451.31,61892.98,61854.5
2024-06-30 21:24:00 UTC,62065.0,61880.0,,61876.2124358974,64502.66,61883.77,61858.8666666667
2024-06-30 21:25:00 UTC,62059.8888888889,61859.75,,61862.2418954248,64505.41,61869.4866666667,61856.0666666667
2024-06-30 21:26:00 UTC,62050.0,61853.0,,61848.3942696629,64443.4125,61856.21,61848.75
2024-06-30 21:27:00 UTC,62046.5,61851.625,,61848.6680188679,64434.89,61855.0125,61845.16
2024-06-30 21:28:00 UTC,62046.2222222222,61855.2,,61850.7697794118,64443.1675,61856.72,61845.16
2024-06-30 21:29:00 UTC,62045.25,61853.75,,61846.837195122,64447.5033333333,61856.4,61845.175
2024-06-30 21:30:00 UTC,62045.3636363636,61849.6,,61846.4770588235,64417.9366666667,61857.2525,61845.1857142857
2024-06-30 21:31:00 UTC,62045.0,61837.0,,61842.2340625,64446.22,61854.0375,61845.1857142857
2024-06-30 21:32:00 UTC,62033.5,61838.75,,61836.2149152542,64673.9675,61840.0,61845.2
2024-06-30 21:33:00 UTC,62032.9,61836.8333333333,,61836.0556122449,64577.26,61840.11,61845.1
2024-06-30 21:34:00 UTC,62030.1666666667,61839.75,,61837.3360606061,,61840.5984615385,61845.18
2024-06-30 21:35:00 UTC,62029.4615384615,61840.0,,61833.2157017544,64550.26,61838.0760869565,61845.2
2024-06-30 21:36:00 UTC,62029.0,61835.0,,61835.2872649573,64548.43,61848.11,61845.1
2024-06-30 21:37:00 UTC,62032.4166666667,61843.5,,61840.2757608695,64554.545,61840.125,61845.125
2024-06-30 21:38:00 UTC,62026.0769230769,61818.3333333333,,61822.1924603175,64531.85,61824.8607692308,61831.425
2024-06-30 21:39:00 UTC,62010.0833333333,61814.0,,61812.2016129032,64551.12,61817.1105,61814.0
2024-06-30 21:40:00 UTC,61992.3103448276,,,61795.5068020305,,61800.71,61796.38
2024-06-30 21:41:00 UTC,62000.0666666667,61819.0,,61812.5739823009,64631.775,61835.9166666667,61796.6333333333
2024-06-30 21:42:00 UTC,62000.2307692308,61800.8333333333,,61801.5190140845,64521.35,,61797.0666666667
2024-06-30 21:43:00 UTC,62000.7333333333,61804.4285714286,,61801.8795890411,64508.37,61806.03,61796.5
2024-06-30 21:44:00 UTC,62012.375,61819.25,,61814.1868571429,64502.79,61806.03,61797.08
2024-06-30 21:45:00 UTC,62009.0909090909,61815.3333333333,,61807.4821052631,64494.26,61806.03,61797.04
2024-06-30 21:46:00 UTC,61965.8928571429,61775.0,,61773.3813148789,64496.61,61758.35875,61795.28
2024-06-30 21:47:00 UTC,61960.5384615385,61773.0,,61767.93239819,64483.5,,61785.2
2024-06-30 21:48:00 UTC,61974.2857142857,61816.0,,61796.4112658228,64466.61,,61792.9857142857
2024-06-30 21:49:00 UTC,62006.1333333333,,,61816.7480172414,64474.375,61811.315,61797.05
2024-06-30 21:50:00 UTC,62006.75,61820.0,,61816.5723,64463.6,61813.605,61797.05
2024-06-30 21:51:00 UTC,62003.0,61817.0,,61813.9888235294,64455.41,61830.13,61797.1
2024-06-30 21:52:00 UTC,62008.5,61815.6666666667,,61815.6229333333,64453.31,61823.36,61797.075
2024-06-30 21:53:00 UTC,62008.0,61816.2857142857,,61815.1709615384,64436.75,,61797.08
2024-06-30 21:54:00 UTC,62008.4666666667,61816.1666666667,,61815.774,64432.19,,61797.1
2024-06-30 21:55:00 UTC,62008.0,61812.5555555556,,61816.5876470588,64422.64,61814.61,61797.0666666667
2024-06-30 21:56:00 UTC,62008.0,61817.75,,61816.2220253165,64416.01,61822.655308642,61797.0333333333
2024-06-30 21:57:00 UTC,62009.0,61831.6666666667,,61841.8386607143,64406.09,61829.595,61797.08
2024-06-30 21:58:00 UTC,62028.75,61851.9090909091,,61846.0114788732,64561.5747826087,61845.0622222222,61806.3714285714
2024-06-30 21:59:00 UTC,,61848.1428571429,,61838.3095789474,64464.75,61843.2192682927,61815.6
2024-06-30 22:00:00 UTC,62061.28,61877.0,,61858.8749245064,64459.89,61880.5667487685,61829.2521739131
2024-06-30 22:01:00 UTC,62052.7234042553,61852.4,,61856.978907563,,61862.5,61841.3
2024-06-30 22:02:00 UTC,62060.75,61891.625,,61905.3304214559,64437.245,61926.7699310344,61850.9461538461
2024-06-30 22:03:00 UTC,62109.4117647059,61933.6666666667,,61944.9804415584,64536.525,61958.8030232558,61880.8363636364
2024-06-30 22:04:00 UTC,62143.0,61950.75,,61947.5547346939,64513.905,61967.2781333333,61940.2833333333
2024-06-30 22:05:00 UTC,62129.3333333333,61963.5,,61957.2430534351,64567.94,61959.52,61944.675
2024-06-30 22:06:00 UTC,62155.5,61969.5384615385,,61966.076875,64537.86,61973.195,61959.2470588235
2024-06-30 22:07:00 UTC,62159.6666666667,61973.0,,61971.5825,64510.83,61977.44,61961.1904761905
2024-06-30 22:08:00 UTC,62158.1428571429,61962.7777777778,,61955.1615662651,64436.59,61946.9,61961.1
2024-06-30 22:09:00 UTC,62140.8,61923.2,,61933.5687254902,64430.95,61942.33375,61961.2
2024-06-30 22:10:00 UTC,62143.6666666667,61968.375,,61962.8838518519,64556.6028571429,61937.41875,61961.1333333333
2024-06-30 22:11:00 UTC,62164.6666666667,61978.0,,61981.883880597,64520.7125,61974.365,61961.1333333333
2024-06-30 22:12:00 UTC,62184.6363636364,61997.75,,62005.8407392996,64589.13,61999.7716666667,61968.0142857143
2024-06-30 22:13:00 UTC,62194.0909090909,61998.7777777778,,61996.0470736842,,61993.71,61974.65
2024-06-30 22:14:00 UTC,62190.0,61996.0,,61994.4230736842,64543.9925,,61987.3
2024-06-30 22:15:00 UTC,62203.5238095238,62008.2,,62014.3046835443,64638.2466666667,62031.843,61988.025
2024-06-30 22:16:00 UTC,62187.9166666667,61997.75,,62000.0447346939,64592.455,62019.93,61989.7
2024-06-30 22:17:00 UTC,62232.2608695652,62021.3928571429,,62042.0628703704,64611.3485714286,62049.9217857143,62006.28125
2024-06-30 22:18:00 UTC,62236.8571428571,62052.6,,62048.1342727273,64596.136,,62051.18
2024-06-30 22:19:00 UTC,62267.6857142857,62092.358974359,,62098.7401257862,64708.9516666667,62100.0130769231,62079.1222222222
2024-06-30 22:20:00 UTC,62318.6875,62119.6666666667,,62124.1144032922,64659.106,62135.1790909091,62093.7875
2024-06-30 22:21:00 UTC,62368.8823529412,62180.3333333333,,62187.2472460497,64726.665,62166.3563380282,62127.7774193548
2024-06-30 22:22:00 UTC,62410.1818181818,62212.0,,62215.9069615385,64776.8828571429,62210.793,62191.8642857143
2024-06-30 22:23:00 UTC,62370.8333333333,62175.5,,62191.9851633987,64551.84,62207.1,62174.3714285714
2024-06-30 22:24:00 UTC,62403.625,62229.8571428571,,62226.1918677043,64762.6877777778,62250.09,62179.2846153846
2024-06-30 22:25:00 UTC,62452.05,62259.2666666667,,62264.6371830986,64737.778,62271.226,62207.7764705882
2024-06-30 22:26:00 UTC,62615.6268115942,62437.2155172414,62293.5,62453.7680795044,65059.8483333333,62451.5001694915,62407.0848275862
2024-06-30 22:27:00 UTC,62814.4186046512,62611.6,,62631.4509610984,65185.9760869565,62633.9773913043,62587.4662162162
